SORT,SORT,,,,2014-12-03,2014-12-03,2014-12-11,2015-02-10,2015-02-10,2015-03-10,2015-03-10,2015-03-11,2015-03-11,2015-03-11,2015-03-12,2015-03-31,2015-03-31,2015-03-31,2015-04-02,2015-04-02,2015-05-05,2015-05-05,2015-05-07,2015-06-11,2015-07-08,2015-07-09,2015-10-01,2015-09-30,2015-11-04,2015-12-09,2016-02-17,2016-02-17,2016-02-17,2016-02-17,2016-05-04,2016-05-03,2016-05-04,2016-07-13,2016-07-13,2016-07-12,2016-07-12,2016-07-12,2016-07-14,2016-07-14,2016-07-14,2016-10-05,2016-10-05,2016-11-09,2016-11-08,2016-11-09,2016-12-13, 2016-12-13,2016-12-13,2016-12-13,2016-12-13,2016-12-14,2016-12-14,2016-12-15,2017-02-15,2017-02-15,2017-02-15,2017-02-15,2017-02-15,2017-02-15,2017-02-15,2017-02-15,2017-02-15,2017-03-28,2017-03-29,2017-04-26,2017-04-26,2017-05-24,2017-05-25,2017-05-25,2017-05-26,2017-07-04,2017-07-04,2017-07-05,2017-07-06,2017-07-06,2017-10-02,2017-10-03,2017-10-03,2017-10-04,2017-11-07,2017-11-07,2017-11-09,2017-12-05,2017-12-05,2017-12-06,2017-12-06,2017-12-06,2017-12-08,2017-12-07,2017-12-07,2017-12-08,2018-01-31,2018-01-31,2018-02-01,2018-02-12,2018-02-12,2018-02-12,2018-02-12,2018-02-12,2018-02-12,2018-02-12,2018-02-12,2018-03-27,2018-04-25,2018-04-26,2018-04-26,2018-04-27,2018-05-24,2018-06-26,2018-06-26,2018-06-27,2018-06-27,2018-06-27,2018-06-28,2018-07-24,2018-07-24,2018-07-24,2018-07-24,2018-07-24,2018-07-26,2018-07-26,2018-07-26,2018-07-30,2017-07-30,2018-07-30,2018-08-20,2018-08-20,2018-09-13,2018-09-13,2018-09-13,2018-09-13,,,,,,,,
Last Name,Ward,,Member of Council,Ford Nation Percentage,"
 Keep Coun. Mammoliti on the Exhibition Place board","
Elect Coun. Frances Nunziata as speaker","
 Bring forward ""accelerated work plan"" for SmartTrack","
Conduct a feasability study of SmartTrack for Eglinton West","
Report on future opportunities for schools at risk of closure","
Don't increase blended property tax rate by 1.59% to make up for provincial funding loss","
Don't move to full cost recovery program for industrial waste surcharge","
Do not consider bringing back vehicle tax to pay for AODA requirements, etc.","
Do not report on increasing TTC streetcar order prior to 2016 budget","
Do not increase library budget by $200K to reinstate security guards at branches","
Increase indoor ice permit fees by 5%, in addition to 2.25% inflation increase","
Request report on expanded gambling at Woodbine Racetrack","
Appoint Angela Kennedy to the Board of Health","
Do not conduct open tender process for Spadina Subway project management","
Remove the pedestrian scramble at Bay Street & Bloor Street","
Refer request for report on locations for pedestrian scrambles  to committee","
Reform food truck regulations, allowing trucks to fend within 30 metres of restaurants","
Defer consideration of taxi reforms until after court decision on Uber","
Approve new, larger, maybe ""raccoon-proof"" green bins","
Identify the ""hybrid option"" as council's preference for the Gardiner east of Jarvis","
Approve expanded gambling at Woodbine Racetrack","
Reappoint Andrew Pringle to the Toronto Police Board","
Ask province to proceed with ranked ballots","
Don't request Uber stop operating in Toronto","
Implement Toronto anti-poverty strategy","
Don't proceed with full cost recovery for industrial waste surcharge program","
Hold residential property taxes to below inflation for 2016","
Don't reduce the police budget by $20m for 2016","
Don't add 350 childcare fee subsidies","
Solid Waste Budget: Keep the extra large garbage bin","
Request report on requiring unions to register as lobbyists","
Pass new bylaw regulating Uber (and other PTCs) in Toronto","
Install bike lane pilot on Bloor Street","
Proceed with the plan to build the Scarborough subway","
Request report considering Sheppard subway extension","
Consider cutting TTC routes as part of 2017 budget direction","
Consider budget cuts that would impact quality of life for TCHC residents","
Consider reducing the 200 new child care spaces approved in 2016 budget","
Don't accelerate implementation of full Road Safety Plan","
Ask the provincial government to ban texting while walking on roadways","
Consider accelerating implementation of full road safety plan, as part of budget process","
Develop implementation plan for Rail Deck Park","
Allow Tuggs Incorporated to sublease restaurant space in Woodbine Beach Park","
Adopt ward boundary recommendation for 44 wards — do not add new wards","
Don't delay consideration of financial strategy for transit plans to 2017 budget process","
Do not bid for World Expo","
Do not explore feasability of a City of Toronto Sales Tax","
Do not report on priority of transit projects using recognized urban planning principles","
Do not reintroduce Vehicle Registration Tax","
Consider increasing the land transfer tax","
Endorse long-term financial plan, including expressway tolls","
Report on viability of citizen panel to study ranked ballots","
Implement low income TTC ""fair pass""","
Don't pursue full cost recovery for industrial wastewater services","
Keep residential property taxes at inflation; don't increase 4.26%","
Cut 10.3 shelter positions in 2017 operating budget","
Don't add 111.3 positions to parks budget for recreation programming","
Don't fully fund Transform TO climate change programs","
Don't fund TTC signal track and traction power reliability initiatives in 2017","
Cancel programming at Duke of Connaught Pool","
Endorse the creation of a hotel tax","
Eliminate the rebate for extra large garbage bins","
Reduce frequency of street sweeping in 2017 budget","
Do not produce business case analysis of subway vs. LRT in Scarborough","
Adopt licensing/registration system for apartment landlords","
Adopt Toronto's Child Care Growth Strategy","
Request provincial approval to allow TCH to permanently evict tenants","
Reaffirm position that Relief Line must open before Yonge Subway Extension","
Do not exempt anti-poverty, housing programs from 2018 budget freeze","
Stop considering a stormwater charge","
Do not make Pride funding conditional on police officers marching","
Prioritize TransformTO plan funding based on business cases","
Direct TCHC to ensure no additional units close in 2018 or 2019","
Move forward with implementing vacant home tax","
Approve pilot project for transit-oriented King Street","
Dissolve TPA board in wake of flag pole scandal","
Create 600 affordable rental units in West Don Lands / downtown","
Start process to create discounted property tax rate for cultural facilities","
Implement pilot project for backyard chickens","
Name a stadium in Centennial Park after Rob Ford","
Keep the bike lanes on Bloor Street","
Continue programming at S.H. Armstrong pool through March 2018","
Don't Ask the integrity commissioner to review Code of Conduct for new Toronto Realty Board","
Continue to study grade separation options for the Eglinton West LRT","
Move forward with plans for Rail Deck Park","
Do not conduct value audit on Scarborough subway versus LRT plan","
Don't include 1,000 new shelter beds in 2018 Shelter Infrastructure Plan","
Do not submit a request to the federal government re: using Toronto armouries as shelters","
Adopt regulations for Airbnb and other short-term rental services in Toronto","
Continue subsidizing industrial wastewater costs","
Don't increase water rates to accelerate Wet Weather Flow Master Plan","
Increase speed limit on Bayview Avenue to 60 km/h; don't report on bike safety","
Request the federal government provide Moss Park Armoury as a shelter","
Implement a Toronto hotel and short-term rental tax","
Don't direct Toronto Hydro to reveal costs of fighting FOI requests","
Reject Coun. Gord Perks' motion for residential property tax rate increase of 4%",Reject Coun. Mike Layton's motion for residential property tax rate increase of 2.9%,Reject Coun. Janet Davis' motion for additional 0.32% residential property tax rate increase to pay for child care,"
Do not request provincial permission to implement a Toronto sales tax","
Increase the TTC budget by $2 million to relieve overcrowding","
Reject Coun. Sarah Doucette's motion for a report on bringing back the Vehicle Registration Tax","
Reject Coun. Lucy Troisi's motion to increase budget to fund Parks Ambassador program","
Reject Coun. Kristyn Wong-Tam's motion to bring back the Vehicle Registration Tax","
Continue studying Reimagining Yonge plan to add bike lanes on north Yonge Street (Deferral)","
Approve up to $1.195 billion for SmartTrack Stations Program","
Approve expanded gambling at Woodbine Racetrack, with conditions","
Commission report on reducing development charges outside the downtown core","
Request an urgent provincial and federal response to increased refugee arrivals in shelter system","
Allow Community Councils to waive petition/polling requirements for traffic calming","
Keep Ward 17 in Etobicoke York Community Council (Don't move to Toronto & East York)","
Spend $10.2 million to design and construction four temporary structures for use as shelters","
Spend $500K for consultant support such that road safety is considered during road resurfacing/reconstruction","
Spend an additional $1 million for each Community Council on Road Safety measures","
Reaffirm support for Toronto's Overdose Action Plan, including harm reduction measures","
Approve metal detectors for the Council Chamber","
Authorize $2.6 million for ""ShotSpotter"" technology that detects gunshots","
Don't request Police Services Board report on business case for ShotSpotter tech","
Consult with Ontario Privacy Commissioner before awarding ShotSpotter contract","
Urge governments to ban sale of handguns and ammunition in Toronto","
Request Police Services Board to immediately hire 100 new officers","
Approve $364 million in tax incentive grants for developers under the IMIT program","
Maintain IMIT tax credits for developments in SmartTrack zones","
Do not require every IMIT tax incentive grant to have council approval","
Request province hold referendum prior to reducing number of city wards","
Convey opposition to province's decision to reduce number of city wards","
Direct City Solicitor to consider validity of provincial move to cut number of wards","
Challenge the legality of the provincial government's cut to the size of council","
Seek a postponement of October 22 election if necessary","
Express strong opposition to Bill 31 and the use of the notwithstanding clause","
Challenge Bill 31 in court","
Request the federal government use the power of disallowance to strike down Bill 31","
Request the federal government provide a mechanism for Toronto to establish a City Charter",Team Tory Percentage,Mayoral Loyalty Change,Mid-term Replacements,,2015,2016,2017,2018
,,,,2010-2014,ST1.1 (M5),CC1.12,EX 1.12,EX2.2,MM3.13 + M3.14,EX3.5 (M2),EX3.1 (M2),EX3.4 (M3a),EX.3.4 (M5a),EX3.4 (M6),EX3.4 (M9a),EX4.16,CA4.1 (M1),CC5.1 (M1),PW2.2,PW2.11 (Ref),LS3.1,LS3.5 (M1),PW3.1,"PW4.1 (M1c, 1)",EX7.4,CA9.2 (Refer),EX8.1 (M6),"LS6.1 (M9,1)",EX9.5,EX10.23 (M2),EX12.1 (M5),EX12.2 (M1b),EX12.2 (M4a),EX12.2 (M5c),EX13.2 (M1),LS10.3,PW12.1 (M2a),EX16.1 (M1),EX16.1 (M9),EX16.37 (M2b),EX16.37 (M2c),EX16.37 (M4b),EX14.1 (M4),PW14.1 (M7),PW14.1 (M10b),EX17.1,GM14.10 (M3),EX18.2 (M6a),EX19.1 (M5a),EX18.7 (R1),"EX20.2 (M1a,b)",EX20.2 (M1b),EX20.2 (M2),EX20.2 (R1c),EX20.2 (Balance),EX20.5 (M1b),EX20.20 (R2-5),EX20.22 (M1),EX22.1 (M2),EX22.2 (M2b),EX22.2 (M12b),EX22.2 (M15),EX22.2 (M2),EX22.2 (M21),EX22.2 (R299),EX22.2 (R305),EX22.2 (Sweeping),EX23.1 (M1),LS17.1 (R2-4),CD19.2,EX24.30,EX25.1 (M6b),EX25.18 (M3a),EX25.6 (M1),"ED21.5 (M1,1)",PE19.4 (M1a),"EX26.2 (M1,1)",EX26.4,EX26.1,AU9.12 (M1c),EX27.15,MM32.39,LS20.1 (M1),CC32.12 (R1),PW24.9 (REVOTE),CC23.3,CC34.2,EX29.1 (M5),EX29.2,AU10.7 (M1) (REVOTE),CD24.7 (M6a),"CD24.7 (M6b, Part 6)",PG24.8,EX29.18 (M2),EX29.18 (M1),PW24.5 (M2),CD25.5,EX30.4,EX30.33 (M2),EX31.1 (M1) (REVOTE),EX31.1 (M4),EX31.1 (M5),"EX31.2 (M1, Part 2)",EX31.2 (M3),EX31.2 (M5),EX31.2 (M6),EX31.2 (M12b),PW27.1 (M4),EX33.1 (R2),EX33.2,EX33.3 (M1),CD27.3 (M1),PW29.6 (M4),EX35.2 (M1a),CD29.8 (M1a),"EX35.26 (M1,1)",EX35.26 (M6),HL27.1,EX35.3 (R2),"CC44.1 (M1,2)",CC44.14 (M7),CC44.14 (M14),CC44.14 (M1-3),CC44.14 (M3d),ED31.7 (M1),"PG31.5 (M1,1)","PG31.5 (M1,4)",MM44.128 (M1a),MM44.128 (M2a),MM44.128 (M4),"CC45.1 (M1, abc)","CC45.1 (M1a, P2)","CC47.1 (M1a, 1)","CC47.1 (M1a, 2)","CC47.1 (M1a, 3)",CC47.1 (M2),Dec 2014 - Sept 2018,+/-,Before,After,Tory %,Tory %,Tory %,Tory %
"AATory, John",0,01,"John Tory
Mayor of Toronto",NEW,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.00%,N/A,N/A,N/A,100.00%,100.00%,100.00%,100.00%
Nunziata,11,02,"Frances Nunziata
Ward 11 York South-Weston",84.82%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,90.15%,5.33,N/A,N/A,96.15%,92.86%,86.84%,87.18%
Carmichael Greb,16,03,"Christin Carmichael Greb
Ward 16 Eglinton-Lawrence",NEW,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Absent,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Absent,Absent,Absent,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,88.00%,N/A,N/A,N/A,92.00%,85.19%,88.89%,86.11%
Kelly,40,04,"Norman Kelly
Ward 40 Scarborough-Agincourt",81.25%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Absent,Absent,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Absent,No,Yes,Yes,Yes,No,No,Absent,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Absent,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Yes,Yes,Yes,Absent,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Absent,Absent,Absent,Absent,86.24%,4.99,N/A,N/A,95.83%,82.61%,86.49%,79.17%
Crawford,36,05,"Gary Crawford
Ward 36 Scarborough Southwest",75.23%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,No,Yes,Absent,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Absent,Yes,Yes,Yes,Yes,Absent,Yes,Yes,No,No,Yes,Absent,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,85.71%,10.48,N/A,N/A,88.46%,92.31%,94.74%,68.57%
Campbell,04,06,"John Campbell
Ward 4 Etobicoke Centre",NEW,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,No,No,Yes,85.27%,N/A,N/A,N/A,84.62%,82.14%,94.59%,78.38%
Minnan-Wong,34,07,"Denzil Minnan-Wong
Ward 34 Don Valley East",74.76%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Absent,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,No,Absent,Yes,Absent,Absent,Yes,No,No,Yes,Absent,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,85.00%,10.24,N/A,N/A,91.67%,88.89%,82.86%,78.79%
Burnside,26,08,"Jon Burnside
Ward 26 Don Valley West",NEW,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Absent,Yes,Yes,Yes,Absent,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Absent,Absent,84.92%,N/A,N/A,N/A,87.50%,82.14%,78.95%,91.43%
