SORT,SORT,,,,,5/12/2018,5/12/2018,13/12/2018,13/12/2018,13/12/2018,13/12/2018,30/1/2019,30/1/2019,30/1/2019,30/1/2019,30/1/2019,30/1/2019,30/1/2019,31/1/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,7/3/2019,27/3/2019,27/3/2019,27/3/2019,28/3/2019,28/3/2019,28/3/2019,16/4/2019,16/4/2019,17/4/2019,17/4/2019,14/5/2019,15/5/2019,18/6/2019,18/6/2019,18/6/2019,16/7/2019,16/7/2019,16/7/2019,16/7/2019,17/7/2019,17/7/2019,18/7/2019,2/10/2019,2/10/2019,3/10/2019,3/10/2019,29/10/2019,29/10/2019,29/10/2019,29/10/2019,29/10/2019,30/10/2019,26/11/2019,26/11/2019,26/11/2019,27/11/2019,27/11/2019,17/12/2019,17/12/2019,29/1/2020,29/1/2020,29/1/2020,19/2/2020,19/2/2020,19/2/2020,19/2/2020,26/2/2020,26/2/2020,30/4/2020,30/4/2020,30/4/2020,28/5/2020,29/6/2020,29/7/2020,29/7/2020,30/7/2020,30/7/2020,30/9/2020,30/9/2020,1/10/2020,2/10/2020,2/10/2020,27/10/2020,28/10/2020,28/10/2020,28/10/2020,25/11/2020,26/11/2020,16/12/2020,16/12/2020,17/12/2020,2/2/2021,2/2/2021,2/2/2021,18/2/2021,18/2/2021,18/2/2021,18/2/2021,10/3/2021,10/3/2021,7/4/2021,7/4/2021,5/5/2021,5/5/2021,8/6/2021,8/6/2021,8/6/2021,8/6/2021,14/7/2021,15/7/2021,16/7/2021,4/10/2021,4/10/2021,9/11/2021,9/11/2021,9/11/2021,10/11/2021,10/11/2021,12/11/2021,15/12/2021,15/12/2021,16/12/2021,16/12/2021,16/12/2021,2/2/2022,17/2/2022,17/2/2022,17/12/2022,9/3/2022,9/3/2022,6/4/2022,6/4/2022,11/5/2022,12/5/2022,12/5/2022,12/5/2022,16/6/2022,16/6/2022,19/7/2022,21/7/2022,21/7/2022,21/7/2022,,
,,,,,,GOVERNANCE,GOVERNANCE,BUSINESS,BUSINESS,TRANSIT,TRANSIT,HOUSING,HOUSING,HOUSING,HOUSING,CYCLING,HOUSING,HOUSING,GOVERNANCE,CHILD CARE,TRANSIT,TAXES,POLICING / LIBRARY,POLICING / ENVIRONMENT,GOVERNANCE,HOUSING,RECREATION,HOUSING,RECREATION,RECREATION,GOVERNANCE,ENVIRONMENT,TRANSIT,TRANSIT,TRANSIT,HOUSING,POVERTY,HOUSING,TRANSIT,TRANSIT,TRANSIT,TRANSIT,BUDGET,PLANNING,GOVERNANCE,TRANSIT,POLICING,HOUSING,HOUSING,PEDESTRIAN SAFETY,PEDESTRIAN SAFETY,CYCLING,CYCLING,MOBILITY,ENVIRONMENT,POLICING,GOVERNANCE,HOUSING,TRANSIT,TRANSIT,TRANSIT,PEDESTRIAN SAFETY,CHILD CARE,GOVERNANCE,HOUSING,POVERTY,POLICING,GOVERNANCE,GOVERNANCE,BUDGET,HOUSING,TRANSIT,GOVERNANCE,PARKS,BUDGET,BUDGET,TRANSIT,BUDGET,HOUSING,BUSINESS,PUBLIC HEALTH,HOUSING,CYCLING,CYCLING,POLICING,POLICING,POLICING,POLICING,HOUSING,HOUSING,INFRASTRUCTURE,TRANSIT,GOVERNANCE,TRANSIT,GOVERNANCE,HOUSING,ARTS,DEVELOPMENT,GOVERNANCE,TRANSPORTATION,HOUSING,HOUSING,TRANSPORTATION,POLICING,PUBLIC HEALTH,TRANSPORTATION,BUDGET,BUDGET,BUDGET,BUDGET,TRANSIT,HOUSING,TRANSPORTATION,GOVERNANCE,TRANSPORTATION,GOVERNANCE,HOUSING,HOUSING,TRANSPORTATION,HOUSING,TRANSPORTATION,HOUSING,CLIMATE,HOUSING,POLICING,HOUSING,HOUSING,BUSINESS,BUSINESS,TRANSPORTATION,GOVERNANCE,ENVIRONMENT,PLANNING,HOUSING,CYCLING,FINANCE,HOUSING,BUDGET,BUDGET,BUDGET,HOUSING,PUBLIC HEALTH,HOUSING,ECONOMY,HOUSING,PARKS,PARKS,ENVIRONMENT,HOUSING,PARKS,HOUSING,BUSINESS,ENVIRONMENT,GOVERNANCE,,
Last Name,Ward,,Member of Council,Ford Nation Percentage,Team Tory Percentage,"Establish new councillor staffing budgets at 1.5 times 2018 rate, freeze office budgets","Establish new councillor staffing budgets at 2 times 2018 rate, increase office budgets ",Allow cannabis retail stores to operate in Toronto,Don't request report on whether City could get exclusive rights to operate cannabis retail,Extend the King Street Transit Pilot to July 2019 to allow for further evaluation,"Reaffirm support for City owning TTC, no subway upload",Don't increase affordability targets in Housing Now plan so that 50% of units are affordable,Do not ensure there will be at least one public sector bid as part of Housing Now process,Impose rent control on Housing Now sites,Adopt Housing Now plan to devote 11 city-owned sites for affordable housing,Make Richmond-Adelaide bike lanes permanent,Do not declare homelessness a human rights disaster akin to a municipal emergency,Do not affirm housing as a human right,Continue legal fight against provincial cut to the size of council,Do not increase residential property taxes by additional 0.161% to fund child care subsidies,Do not raise residential property taxes by additional 0.842% to stop TTC fare increase,Do not request a report on bringing back the Vehicle Registration Tax,Do not reduce police budget by $3.35M and use funds to expand library hours,Do not reduce police budget by $250K and use funds to implement TransformTO,"Do not increase Integrity Commissioner office budget by $190K, funded by parking dividend",Do not increase budget for Rent Bank program by $70K,Increase parks budget by $160K to fund access program at Regent Park Aquatic Centre,Do not spend $135.5K to expand Tenant Hotline program,"Do not spend $1.055M to add five Enhanced Youth Spaces, funded through vehicle reserve funds","Do not spend $390K to add three Youth Hubs at libraries, funded by vehicle reserve funds",Request report on harmonizing sidewalk snow clearing & internalizing snow clearing operations,Begin phasing out subsidies for industrial sewer waste,Continue negotiations with Province re: transit uploading,Do not include preamble on all communications with Province indicating city is negotiating transit upload under protest,Request City Manager implement public info campaign re: Council's opposition to transit upload,Do not allow all secondary suites to have front door entrances,Loosen zoning regulations for shelters by removing distance requirements,Request report on adding land transfer tax bracket to pay for housing subsidies,Don't remove King Street Pilot restrictions nights and weekends,Make the King Street Pilot permanent,Review new provincial transit plan and consider endorsing it,Maintain support for Scarborough Subway and not an LRT option with future connection to Malvern,Request the provincial government reverse in-year cuts to Toronto's 2019 budget,"Oppose Bill 108, including the return of OMB powers",Limit bidders on some construction jobs to approved unions,Continue negotiating with the provincial government on upload of the TTC subway system,Request federal and provincial governments ban the sale of handguns and ammunition in Toronto,Require Council approval before selling or transferring TCHC land,Break up TCHC and create new Seniors Housing Corporation,Give councillors/committee ability to override staff authority to install sidewalks,Approve Vision Zero 2.0 with lower speed limits,Conduct study on adding bike lanes on University Avenue,Do not conduct study on bringing back bike lanes on Jarvis Street,"Do not ban Uber, Lyft and other PTCs from operating in Toronto",Declare a climate emergency in Toronto,Increase police budget for 2019 in response to summer shootings,Appeal Premier Doug Ford's Council cut to Supreme Court,Permit lower-density development near future Eglinton West LRT stop,Keep Scarborough Subway in transit deal — don't revert to LRT,Keep all-underground Eglinton West LRT in transit deal,Do not make transit deal conditional on province & federal governments paying state of good repair costs,Do not hold a debate on expanding sidewalk snow clearing in downtown & area,Call on provincial government to reverse cuts to child care,Request a review of permitted uses of library and public space,"Adopt ""Tenants first"" new model for TCHC","Adopt 2019-2022 ""action plan"" for poverty reduction",Request federal government ban handguns in Toronto,Prepare for potentially conducting 2022 election using ranked ballots,Do not consider including money in the 2020 budget for further review of governance reforms,Adopt increased tax levy for City Building Fund,Adopt 2020-2030 Housing Plan,Do not make provincial transit deal conditional on agreement for maintenance and vehicle costs,Install metal detectors at City Hall entrance,Acquire (expropriate if necessary) air rights for first phase of Rail Deck Park,"Approve tax rates for 2020, including expanded City Building Fund",Do not request report on bringing back the Vehicle Registration Tax,Do not use money in reserve fund to reverse youth and post-secondary fare increases,Request report on commercial parking levy,"Do not declare homelessness an emergency, establish task force",Request report on a vacant storefront tax,Extend Mayor John Tory's emergency powers during COVID-19 pandemic,Approve no-bid agreement to quickly build modular housing in response to COVID-19,"Do not direct staff to explore new tech, including heated pavement, to promote year-round cycling",Install 25 kilometres of new bike infrastructure in response to COVID-19,Do not request police provide a 2021 draft budget with a 10% reduction,"Accelerate body camera program, don't reallocate funds",Request report on non-police led response to emergency calls by January 2021,Do not request TTC provide option to eliminate Special Constable Unit,Allow rent increases at Housing Now sites to be as much as 2% above provincial rent control guideline,Urge Province to reinstate moratorium on eviction of tenants,Move forward with plan for potential development of incinerator for waste disposal,Do not request provincial government reverse decisions to bury Eglinton West LRT,Continue to work on process for potentially using ranked ballots in 2026 election,Do not request the TTC immediately recall laid-off staff and increase service to pre-COVID levels,Develop communication plan to get federal/provincial funds if necessary,Authorize City Manager to spend emergency funds in event Toronto's shelter system can't meet demand,Provide a permanent property tax break to live music venues,Express displeasure with provincial use of MZOs,Request provincial gov not proceed with ban of ranked ballots in municipal elections,Look for ways to increase the amount of sidewalk snow clearing,Take steps to implement a vacant home tax,Do not pursue expropriation of vacant hotel rooms and apartment units for emergency housing,Endorse Transform Yonge plan for North York,Endorse non-police crisis response pilot program,Request provincial government require employers offer paid sick days,Endorse Yonge Tomorrow plan for downtown Yonge Street,"Do not rewrite 2021 City budget to include universal child care, emergency housing, more transit funding",Do not redirect $2.7 million to expand winter access washrooms and deliver TransformTO climate change mitigation projects,"Don't request report on cost of expanding bike lane network by 25 km, 50 km or 100 km annually","Report on transferring responsibility for crisis response, traffic management and parking enforcement away from police",Do not conduct technical assessment of Scarborough LRT in upcoming report on Scarborough transit,Endorse modular housing sites in East York and Willowdale,Endorse ActiveTO project on Yonge Street,Report on feasibility of in-sourcing tree maintenance services,Continue ban on e-scooters; do not regulate,Approve deal with PayIt for online payments,"Do not report on potential changes to shelter operations, including advisory group of shelter users",Adopt a goal of zero encampments,Approve expanded sidewalk snow clearing program ,Approve purchase of portable toilets and sinks for Toronto parks with encampments,Rename Dundas Street,Include analysis of potential increases to vacant home tax rate in future report,Do not include variable stormwater charge in upcoming consultations on water fees and charges,"Delay consideration of legalizing rooming houses, again",Do not request judicial inquiry into violent clearing of park encampments,Do not speed up phase-in of inclusionary zoning policy,Implement inclusionary zoning ,Introduce a small business property tax class,Make CafeTO program permanent,Stop issuing new taxi/Uber/etc licenses until after driver training program is implemented, Award contract for Etobicoke garbage pick-up; do not wait for report on private vs public delivery,"Adopt updated TransformTO plan - ""Critical Steps for Net Zero by 2020""",Remove minimum parking requirements in new developments,Approve final design and implementation of vacant home tax,"Make ActiveTO bike lanes permanent on streets like Bloor, Dundas East, University, Danforth","Approve $1.5 billion in contracts for snow removal services, do not refer back to committee for more consideration",Allow Garden Suites as a housing type,Provide funding to immediately remove overdue fines for library materials for all users,Do not reduce police budget by $10 million to fund more rent supplementals,"Do not increase capital budgets for Vision Zero (by $50 million) and TTC vehicle purchase (by $45 million), funded via debt","After provincial refusal to issue MZO, start city rezoning process for modular project at 175 Cummer",Remove Toronto's mask mandates on the provincial schedule,Do not initiate expropriation proceedings for 214-230 Sherbourne,Do not explore feasibility of providing financial support to retrain hospitality workers to work in shelter hotels,"Do not condemn the provincial government for ""lack of action to end homelessness""",Defer consideration of allowing drinking in parks until 2023,Proceed with plans to hire security guards to patrol parks for encampments,Delegate tree removal decisions to community council,Permanently change Rent Bank to a City-funded grant program,Do not request report report on park washrooms and water fountains befor election,Exempt multiplexes of up to four units from development charges,Change planning rules to allow small-scale retail in residential zoning,Provide no-fault basement flooding grant program to residents in Rockcliffe neighbourhood,Request province grant Toronto new tax powers in addition to strong mayor system,Team Tory Percentage,Mayoral Loyalty Change
,,,,2010-2014,2014-2018,CC1.1 (M1),CC1.1 (M3a),CC1.4 (M5b),CC1.4 (M6),CC1.5,"CC1.6 (M1, 1)",EX1.1 (M3a),EX1.1 (M5a),EX1.1 (M7c),EX1.1,IE1.5,"PH1.2 (M1, 1)","PH1.2 (M1,2)",CC2.2 (M1),EX2.1 (M2a),EX2.1 (M2c),EX2.5 (M2a),EX2.5 (M6a),EX2.5 (M6b),EX2.5 (M6e),EX2.5 (M8c),EX2.5 (M8d),EX2.5 (M10a),EX2.5 (M10b),EX2.5 (M10c),EX2.5 (M8b),EX2.2 (M1),"EX3.1 (M1,2)",EX3.1 (M3),"EX3.12 (M2, REVOTE)","PH3.1 (M2, REVOTE)",PH3.2,MM5.2,EX4.2 (M1a),EX4.2,EX4.1 (M1a),EX4.1 (M2),MM7.13 (M1),CC7.3 (M1a),EX6.3 (M1),EX6.5 (M1),EX6.7,EX7.1 (M2),EX7.1,IE6.8 (M14c),IE6.8,IE6.11 (9),IE6.12 (M1),GL6.31 (M2),MM10.3,EX8.20,CC10.3,SC8.4 (M1),EX9.1 (M1a),EX9.1 (M1c),EX9.1 (M10),"IE8.6 (SEIZE, NEEDS 2/3)",EC8.16,MM11.14,EX10.2,EX10.1,HL11.1,GV5.1 (Ma),GV5.1 (M3),EX11.26,PH11.5,EX12.3 (M4),GL11.4,EX12.4,EX13.1,EX13.2 (M3c),EX13.2 (M5),EX13.2 (M10b),PH13.6 (M2),MM16.9,CC20.3,CC20.6,"IE12.8, Rec 9",CC21.20,"CC22.2 (M1a, 2+3)",CC22.2 (M7b),CC22.2 (Balance),EX14.8 (M1),PH14.3 (M1),PH16.8 (M1),IE12.4 (M1a),EX16.5 (M4),EX16.8 (M1),"EX16.9 (M1,1)",EX17.1 (M1a),EC16.1,EC16.7,MM25.30,EX18.11 ( M1),IE17.7 (M1),EX19.3,"PH19.11 (M2, 2)",IE18.1,EX20.1,"HL25.3, Rec 3",IE19.11,EX21.1 (M1),EX21.2 (M3a),EX21.2 (M3b - REVOTE),EX21.2 (M3c),DM30.7 (M1),"PH21.1, Rec 1","IE20.12 (M4,1)",AU8.6 (M2),IE21.7 (M1),EX23.2,CC34.1 (M1),CC34.1 (M5),IE22.13,GL23.13 (M2),EX25.1,EX25.3 (M3c),IE23.6 (M1),PH25.10 (M1),MM36.25,PH28.1 (M2),PH28.1,EX27.7,"EX27.10, Rec 1-5",GL26.11 (M1a),IE25.3 (M1),IE26.16,PH29.3,EX28.2,IE26.10,IE26.4 (M2),PH30.2,"EX30.2 (M1b,i) ",EX30.2 (M6b),EX30.2 (M6c),PH31.13,CC41.1 (M1),"EX31.4 (M1, Part 1)","EC28.9 (M4, Part 1)",EX32.6 (M1),MM43.5 (M1),MM43.43,EX32.15,PH34.9 (M1),MM45.10,EX34.1 (M1a),PH35.1 (M2),GL32.1,"MM47.107 (M1, part d)",Dec 2018 - Aug 2022,vs. last term
"AATory, John",0,01,"John Tory
Mayor of Toronto",NEW,100.00%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,100.00%,0
McKelvie,25,02,"Jennifer McKelvie
Ward 25 Scarborough-Rouge Park",,NEW,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,95.27%,N/A
Thompson,21,03,"Michael Thompson
Ward 21 Scarborough Centre",71.15%,78.81%,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Absent,Absent,Yes,Yes,No,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Absent,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Absent,Yes,Yes,93.53%,14.71
Bailao,9,04,"Ana Bailão
Ward 9 Davenport",29.63%,78.86%,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Absent,Yes,Yes,Yes,Yes,Absent,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,92.31%,13.45
Nunziata,05,05,"Frances Nunziata
Ward 5 York South-Weston",84.82%,90.15%,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,91.95%,1.79
Bradford,19,06,"Brad Bradford
Ward 19 Beaches-East York",,NEW,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Absent,Absent,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,89.66%,N/A
Crawford,20,07,"Gary Crawford
Ward 20 Scarborough Southwest",75.23%,85.71%,Yes,No,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Absent,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Absent,Yes,Absent,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Absent,Yes,Absent,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,89.29%,3.57
