SORT,SORT,,,,,,2022-11-24,2022-12-15,2022-12-15,2022-12-14,2022-12-14,2023-02-08,2023-02-08,2023-02-15,,,,
,,,,,,,GOVERNANCE,GOVERNANCE,GOVERNANCE,HOUSING,HOUSING,SHELTERS,CYCLING,SHELTERS,,,,
Last Name,Ward,,Member of Council,Ford Nation Percentage,Team Tory Percentage,Team Tory Percentage,Don't allow discussion of strong mayor powers as part of debate over provincial housing bill,Don't oppose mayor using powers to win votes with less than a majority vote of council,"Do not refer ""strong mayor"" item to Executive Committee or allow public deputations","Direct City Manager to develop 2023 Housing Action Plan, achieve or exceed 285K new home target",Legalize and regulate multi-tenant homes (rooming houses) city-wide,"Do not declare homeless a public health crisis or direct staff to establish 24/7 indoor warming locations (instead, request report)","Do not make midtown Yonge bike lanes permanent. Instead, extend pilot to Nov 2023",Do not reduce police budget by $900K to fund warming centres,Team Tory Percentage,Mayoral Loyalty Change,Seat %,Seat Change
,,,,2010-2014,2014-2018,2018-2022,CC1.2 (Uphold Chair),CC2.3 Motion 1 (Matlow),CC2.3 Motion 5 (Perks),"CC2.1, Part 1","CC2.1, Parts 2 & 3","HL1.6, Motion 2 (Thompson)","IE1.4, Motion 2a (Burnside)","MPB4.1, Motion 3 (Bravo)",Nov 2022 - Feb 2023,vs. last term,2018-2022,Prev vs new
"AATory, John",0,01,"John Tory
Mayor of Toronto",,100.00%,100.00%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.00%,0.00,100.00%,0.00
Crisanti,1,02,"Vincent Crisanti
Ward 1 Etobicoke North",82.57%,75.65%,Returning,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.00%,N/A,69.47%,+30.53
Nunziata,05,03,"Frances Nunziata
Ward 5 York South-Weston",84.82%,90.15%,91.95%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.00%,+8.05,91.95%,+8.05
Crawford,20,04,"Gary Crawford
Ward 20 Scarborough Southwest",75.23%,85.71%,89.29%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.00%,+10.71,89.29%,+10.71
Pasternak,06,05,"James Pasternak
Ward 6 York Centre",58.82%,82.41%,85.29%,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,87.50%,+2.21,85.29%,+2.21
Carroll,17,06,"Shelley Carroll
Ward 17 Don Valley North",5.36%,44.09%,71.53%,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,87.50%,+15.97,71.53%,+15.97
Bradford,19,07,"Brad Bradford
Ward 19 Beaches-East York",,,89.66%,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,87.50%,-2.16,89.66%,-2.16
Thompson,21,08,"Michael Thompson
Ward 21 Scarborough Centre",71.15%,78.81%,93.53%,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,87.50%,-6.03,93.53%,-6.03
Mantas,22,09,"Nick Mantas
Ward 22 Scarborough-Agincourt",,,93.75%,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,87.50%,-6.25,80.67%,+6.83
