SORT,SORT,,,,,,,,,,2023-07-19,2023-07-19,2023-09-06,2023-09-06,2023-09-06,2023-09-06,2023-09-06,2023-10-11,2023-10-11,2023-10-11,2023-11-08,2023-11-08,2023-11-08,2023-11-08,2023-11-09,2023-12-13,2023-12-14,2023-12-14,2023-12-14,2023-12-15,2023-12-15,2024-02-06,2024-02-06,2024-02-07,2024-02-07,2024-02-07,2024-02-14,2024-02-14,2024-03-20,2024-03-21,2024-04-17,2024-04-17,2024-04-18,2024-05-23,2024-05-22,2024-05-23,2024-05-23,2024-06-26,2024-06-26,2024-06-27,2024-06-27,2024-06-27,2024-06-27,2024-06-27,2024-07-24,2024-07-25,2024-07-25,,,,,,,
,,,,,,,,,,,PARKS,CLIMATE,FINANCES,FINANCES,FINANCES,FINANCES,FINANCES,HOUSING,TRANSPORTATION,CLIMATE,HOUSING,POLICING,TRANSPORTATION,SHELTERS,ROAD SAFETY,GOVERNANCE,MISC,MISC,HOUSING,CLIMATE,MISC,TRANSPORTATION,FINANCES,GOVERNANCE,PARKS,SHELTERS,POLICING,FINANCES,MISC,HOUSING,PARKS,TRANSPORTATION,FINANCES,HOUSING,HOUSING,MISC,CYCLING,HOUSING,HOUSING,SHELTERS,MISC,MISC,CYCLING,CYCLING,TRANSPORTATION,TRANSPORTATION,ENVIRONMENT,,,,,,,
Last Name,Ward,,,,,Member of Council,Ford Nation Percentage,Team Tory Percentage,Team Tory Percentage,Team Tory Percentage,Approve pilot program allowing alcohol in some parks,"Pursue a ban of two-stroke small engine equipment, such as leaf blowers",Approve new land transfer tax rates on high-value residential properties,Authorize the Toronto Parking Authority to raise on-street rates beyond $5 per hour,Report on developing commercial parking levy,Report on establishing City of Toronto sales tax,Report on higher land transfer tax rates for buyers seeking to own multiple homes in Toronto,"Triple the vacant home tax rate, from 1% to 3%","Put a cap on the number of licenses available to drivers for Uber, Lyft, etc.",Move forward with requirement that all ride-hail vehicles be zero-emission by 2031,"Adopt ""public builder"" model for five sites as part of new housing strategy",Expand the Toronto Community Crisis Service as a city-wide emergency service,Advance design on Waterfront East LRT,"Request federal government take urgent action on refugee crisis, including consideration of using armouries as shelters",Adopt new traffic calming policies; do not refer back to staff for consideration of ward-specific policies,"Approve principles of the new deal with the provincial government, including Gardiner/DVP upload",Rename Yonge-Dundas Square as Sankofa Square,Request TTC rename Dundas and Dundas West subway stations,"Enter agreement to accept federal Housing Accelerator Funds, increase permissions for density",Require medium and large buildings to report energy and water use data,Rename Centennial Park stadium after Rob Ford,Defer consideration of RapidTO program until after costs of Scarborough busway are final,Approve implementation of foreign buyer tax,Develop a framework for managing and monitoring protests,Remove signs prohibiting tobogganing at parks,Approve lease extensions for shelter hotels,Add another $12.6 million to proposed 2024 police budget increase,"Approve property tax increases for 2024, including 9.5% total increase for residential",Report on community benefits plan for hosting FIFA World Cup 2026,Review all city-owned parking lots and other property for housing and other city building opportunities,Make alcohol-in-parks pilot project permanent in select parks,Increase fines for parking tickets,Keep the vacant home tax,Permit six-storey apartments and townhouses on major streets,"If Bill 185 is enacted, request province restrict third-party appeals for affordable housing projects","Do not ask province to pass legislation allowing ""bubble zones"" around religious institutions, restricting protests","Authorize construction of ""Complete Street"" on Eglinton, including bike lanes",Approve Rental Housing Supply Plan,Move forward with design of renovictions bylaw,"Approve new encampment strategy, focused on outreach and support","Move forward with plan to rename Dundas Square as ""Sankofa Square""",Don't delay approval of Villiers Island plan to conduct more aiport impact analysis,Keep Etobicoke bikeways in 2025-2027 cycling network plan,Keep bike lanes as installed on Bloor West,Approve acceleration plan for Gardiner Expressway construction work,"Procure two electric ferries to serve Toronto Islands, at cost of $92 million",Consult on stormwater charge for non-residential as opportunity to reduce flooding,Team Chow Percentage,Mayoral Loyalty Change,Change from last Scorecard,Total Nos,Votes With Chow,Absent Votes,Total Votes
,,Ward Name,Member of Council,Team Chow Percentage,,,2010-2014,2014-2018,2018-2022,2022-2023,EC5.1,IE5.1,EX7.1 - Rec 2,EX7.1 - Rec 3,EX7.1 - Rec 5b,EX7.1 - Rec 8,EX7.1 - Rec 14,EX8.7 - Rec 1.i,EC6.6 - Motion 3,EC6.6 - Motion 6,EX9.3 - Motion 5b (Bradford),EX9.10,EX9.14, EX9.19 - Rec 1,IE7.4 - Motion 1,CC13.2,MM13.29 - Rec 1,MM13.29 - Rec 3,MM13.27,IE9.5,MM13.11,EX11.8 - Motion 2a,EX11.1,IE10.7 - Motion 1,MM14.9,EC9.4 - Rec 1,MPB15.1 - Motion 1,CC15.1 - Rec 1-5,EX12.2 - Motion 3,EX12.4,EC11.4,IE11.2 - Motion 2,CC17.1 - Motion 3a,PH12.3,PH17.2 - Motion 1a,IE13. 1 - Motion 2,IE13.2,PH13.8,PH13.7,EC13.8,EX15.4,PH13.2 - Motion 3,IE14.3 - Motion 3d,IE14.4 - Motion 1,EX16.1 - Motion 1a,GG14.8,"MM20.24, Motion 4a",July 2023 - July 2024,vs. last full term,Change from last Scorecard,,,,
Chow,0,"Mayor
City of Toronto",Mayor Olivia Chow,100.00%,1,"Olivia Chow
Mayor of Toronto",,,New,New,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.00%,N/A,0,0,44,0,44
Ainslie,24,"Ward 24
Scarborough-Guildwood",Councillor Paul Ainslie,97.50%,4,"Paul Ainslie
Ward 24 Scarborough-Guildwood",61.74%,74.60%,88.28%,62.50%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes,Absent,Absent,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Absent,Yes,Yes,Yes,97.50%,9.22,1.14,1,36,7,44
Bradford,19,"Ward 19
Beaches-East York",Councillor Brad Bradford,57.78%,25,"Brad Bradford
Ward 19 Beaches-East York",,,89.66%,87.50%,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Absent,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Absent,Yes,Yes,No,No,No,No,No,Yes,Yes,No,57.78%,-31.88,-0.11,18,24,2,44
Bravo,9,"Ward 9
Davenport",Councillor Alejandra Bravo,93.62%,11,"Alejandra Bravo
Ward 9 Davenport",,,New,25.00%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,93.62%,N/A,2.61,3,41,0,44
Burnside,16,"Ward 16
Don Valley East",Councillor Jon Burnside,71.79%,21,"Jon Burnside
Ward 16 Don Valley East",,84.92%,Returning,71.43%,Yes,Yes,Absent,Absent,Absent,Absent,Absent,Absent,Yes,Yes,No,Yes,No,Yes,Yes,Absent,Yes,Yes,No,No,Yes,No,Yes,Yes,Absent,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,71.79%,N/A,-1.03,10,26,8,44
Carroll,17,Ward 17 Don Valley North,Councillor Shelley Carroll,97.67%,2,"Shelley Carroll
Ward 17 Don Valley North",5.36%,44.09%,71.53%,87.50%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,97.67%,26.14,0.76,1,40,3,44
Cheng,18,"Ward 18
Willowdale",Councillor Lily Cheng,84.44%,18,"Lily Cheng
Ward 18 Willowdale",,,New,37.50%,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,84.44%,N/A,-1.59,7,36,1,44
Colle,8,"Ward 8
Eglinton-Lawrence",Councillor Mike Colle,88.37%,15,"Mike Colle
Ward 8 Eglinton-Lawrence",,,81.94%,62.50%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Absent,No,Yes,Yes,Yes,Yes,No,Absent,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,No,88.37%,6.43,-0.23,4,36,4,44
Crisanti,1,"Ward 1
Etobicoke North",Councillor Vincent Crisanti,51.52%,25,"Vincent Crisanti
Ward 1 Etobicoke North",82.57%,75.65%,Returning,100.00%,No,No,Absent,Absent,Absent,Absent,Absent,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,No,Yes,Yes,Absent,Yes,Absent,No,Yes,No,Absent,Yes,No,Absent,No,No,No,No,Absent,Yes,Yes,Absent,No,No,No,No,Yes,Absent,Yes,51.52%,N/A,-11.16,16,15,13,44
Fletcher,14,"Ward 14
Toronto-Danforth",Councillor Paula Fletcher,93.02%,14,"Paula Fletcher
Ward 14 Toronto-Danforth",3.74%,45.16%,65.47%,25.00%,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Absent,Yes,No,Yes,Yes,No,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,93.02%,27.56,2.91,3,37,4,44
Holyday,2,"Ward 2
Etobicoke Centre",Councillor Stephen Holyday,14.89%,26,"Stephen Holyday
Ward 2 Etobicoke Centre",,71.97%,57.82%,37.50%,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,14.89%,-42.93,-1.64,38,6,0,44
Kandavel,20,"Ward 20
Scarborough Southwest",Councillor Parthi Kandavel,86.21%,16,"Parthi Kandavel
Ward 20 Scarborough Southwest",75.23%,85.71%,89.29%,100.00%,Absent,Absent,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Vacant,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Absent,Absent,Yes,Yes,Yes,86.21%,-3.08,1.1,4,22,5,44
Malik,10,"Ward 10
Spadina-Fort York",Councillor Ausma Malik,93.62%,12,"Ausma Malik
Ward 10 Spadina-Fort York",,,New,25.00%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,93.62%,N/A,2.61,3,41,0,44
Mantas,22,"Ward 22
Scarborough-Agincourt",Councillor Nick Mantas,76.74%,19,"Nick Mantas
Ward 22 Scarborough-Agincourt",,,93.75%,87.50%,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Conflict of Interest,Conflict of interest,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Absent,No,Yes,Yes,Yes,Absent,Yes,No,Yes,No,Yes,Yes,Yes,76.74%,-17.01,3.39,10,30,2,44
Matlow,12,"Ward 12
Toronto-St. Paul’s",Councillor Josh Matlow,95.74%,6,"Josh Matlow
Ward 12 Toronto-St. Paul's",23.68%,57.60%,55.86%,25.00%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,95.74%,39.88,1.74,2,42,0,44
McKelvie,25,"Ward 25
Scarborough-Rouge Park",Councillor Jennifer McKelvie,93.02%,10,"Jennifer McKelvie
Ward 25 Scarborough-Rouge Park",,,95.27%,87.50%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Absent,Yes,Absent,Yes,Yes,No,Yes,Yes,Absent,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,93.02%,-2.25,-2.31,3,37,4,44
Moise,13,"Ward 13
Toronto Centre",Councillor Chris Moise,97.73%,3,"Chris Moise
Ward 13 Toronto Centre",,,New,50.00%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Absent,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,97.73%,N/A,1.06,1,40,3,44
Morley,3,"Ward 3
Etobicoke-Lakeshore",Councillor Amber Morley,95.65%,9,"Amber Morley
Ward 3 Etobicoke-Lakeshore",,,New,25.00%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,95.65%,N/A,1.59,2,41,1,44
Myers,23,"Ward 23
Scarborough North",Councillor Jamaal Myers,95.65%,7,"Jamaal Myers
Ward 23 Scarborough North",,,New,37.50%,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absent,Yes,95.65%,N/A,1.74,2,42,0,44
Nunziata,5,"Ward 5
York South-Weston",Councillor Frances Nunziata,80.85%,17,"Frances Nunziata
Ward 5 York South-Weston",84.82%,90.15%,91.95%,100.00%,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,80.85%,-11.1,-1.06,9,35,0,44
